逾年,踰年
逾矩,踰矩
逾越,踰越
逾閒,踰閒
運籌惟幄,運籌帷幄
遐疵,瑕疵
道坎,道檻
遠揚,遠颺
遺撼,遺憾
邂怠,懈怠
邋塌,邋遢
邋蹋,邋遢
郎鐺,啷鐺
郭朴,郭璞
鄉願,鄉愿
鄉願意,鄉願意
酒肴,酒餚
酬傭,酬佣
酸疼,痠疼
酸痛,痠痛
酸軟,痠軟
醃臢,腌臢
醇朴,醇樸
醮墨,蘸墨
重簷,重檐
金侖,金崙
金橘,金桔
釘槌,釘鎚
針炙,針灸
針黹,鍼黹
釵環,釵鐶
鉗口,箝口
鉛鎚,鉛錘
鉸煉,鉸鍊
銜土,啣土
銜泥,啣泥
銜環,啣環
銜草,啣草
銷溶,銷鎔
鋪位,舖位
錙衣,緇衣
錦鏢,錦標
錫坤,錫堃
鍛煉,鍛鍊
鍛羽,鎩羽
鍛鏈,鍛鍊
鍾山,鍾山
鎖煉,鎖鍊
鎖碎,瑣碎
鎚煉,錘煉
鎧胄,鎧冑
鏟刈,剷刈
鏟去,剷去
鏟平,剷平
鏟滅,剷滅
鏟起,剷起
鏟除,剷除
鐵槌,鐵鎚
鐵煉,鐵鍊
鐵練,鐵鍊
鑲崁,鑲嵌
門坎,門檻
閃鑠,閃爍
開浚,開濬
開鋪,開舖
閒遐,閒暇
閒靜,閑靜
闔家,閤家
闔府,閤府
闔府上下,閤府上下
防御,防禦
防礙,妨礙
阿腴,阿諛
陀手,舵手
陷井,陷阱
雄赳赳,雄糾糾
青棵,青稞
青笞,青苔
靦典,靦腆
韃伐,撻伐
韋席,韋蓆
頂頂大名,鼎鼎大名
項煉,項鍊
頹圯,頹圮
顧恤,顧卹
風姿卓約,風姿綽約
飯團,飯糰
饋贈,餽贈
驚螫,驚蟄
骼膊,胳膊
髒器,臟器
髒腑,臟腑
魁悟,魁梧
鮮于,鮮于
鸕慈,鸕鶿
麻病,痲病
麻瘋,痲瘋
麼兒,么兒
麼女,么女
麼子,么子
齧齒,囓齒
延長,延長
部落,部落
村落,村落
角落,角落
生長,生長
成長,成長
對華,對華
微軟,微軟
讀寫頭,讀寫頭
讀取頭,讀取頭
水道,水道
有關,有關
相關,相關
事關,事關
安全,安全
恢複,恢復
太監,太監
太太,太太
英九,英九
麼弟,么弟
麼妹,么妹
仙後,仙后
呂後,呂后
天後,天后
太後,太后
封後,封后
帝後,帝后
廢後,廢后
影後,影后
往後,往後
後冠,后冠
後土,后土
後妃,后妃
後稷,后稷
後羿,后羿
拆封後,拆封後
母後,母后
王後,王后
皇後,皇后
舞後,舞后
西後,西后
豔後,豔后
韋後,韋后
一鍋面,一鍋麵
一面,一面
七面,七面
九面,九面
二面,二面
什錦面,什錦麵
刀削面,刀削麵
十面,十面
千層面,千層麵
吃完面,吃完麵
吃過面,吃過麵
吃面,吃麵
壽面,壽麵
大利面,大利麵
弄面吃,弄麵吃
拉面,拉麵
拌面,拌麵
排骨面,排骨麵
揉面,揉麵
擔仔面,擔仔麵
擔擔面,擔擔麵
方便面,方便麵
桌面,桌面
油面,油麵
泡面,泡麵
涼面,涼麵
湯面,湯麵
炒面,炒麵
烏龍面,烏龍麵
煮面,煮麵
燙面,燙麵
